"Distance","Longitude","Latitude","Elevation","Horizon","method","ID","Range"
5135.849979,35.32783833,32.45769483,-139,"eocene_Base","Source","CC'",NA
5392.642478,35.33034811,32.4567737,-112,"eocene_Base","Source","CC'",NA
5649.434976,35.33285784,32.45585252,-80,"eocene_Base","Source","CC'",NA
5906.227475,35.33536751,32.45493129,-80,"eocene_Base","Source","CC'",NA
6163.019974,35.33787714,32.45401001,-80,"eocene_Base","Source","CC'",NA
6419.812473,35.34038671,32.45308868,-80,"eocene_Base","Source","CC'",NA
6676.604972,35.34289623,32.4521673,-69,"eocene_Base","Source","CC'",NA
6933.397471,35.3454057,32.45124587,-59,"eocene_Base","Source","CC'",NA
7190.18997,35.34791512,32.45032439,-42,"eocene_Base","Source","CC'",NA
7446.982469,35.35042448,32.44940286,-26,"eocene_Base","Source","CC'",NA
7703.774968,35.3529338,32.44848128,-26,"eocene_Base","Source","CC'",NA
7958,35.35544307,32.44755965,-22.60404255,"eocene_Base","linear","CC'",NA
7968,35.35544307,32.44755965,-22.57824468,"eocene_Base","linear","CC'",NA
8208,35.35795228,32.44663797,-21.95909574,"eocene_Base","linear","CC'",NA
8218,35.35795228,32.44663797,-21.93329787,"eocene_Base","linear","CC'",NA
8468,35.36046144,32.44571624,-21.28835106,"eocene_Base","linear","CC'",NA
8478,35.36046144,32.44571624,-21.26255319,"eocene_Base","linear","CC'",NA
8728,35.36297055,32.44479447,-20.61760638,"eocene_Base","linear","CC'",NA
8738,35.36297055,32.44479447,-20.59180851,"eocene_Base","linear","CC'",NA
8978,35.36547961,32.44387264,-19.97265957,"eocene_Base","linear","CC'",NA
8988,35.36547961,32.44387264,-19.9468617,"eocene_Base","linear","CC'",NA
8998,35.36547961,32.44387264,-19.92106383,"eocene_Base","linear","CC'",NA
9238,35.36798862,32.44295076,-19.30191489,"eocene_Base","linear","CC'",NA
9248,35.36798862,32.44295076,-19.27611702,"eocene_Base","linear","CC'",NA
9498,35.37049757,32.44202883,-18.63117021,"eocene_Base","linear","CC'",NA
9508,35.37049757,32.44202883,-18.60537234,"eocene_Base","linear","CC'",NA
9750,35.37300648,32.44110686,-18.02618902,"eocene_Base","linear","CC'",NA
9760,35.37300648,32.44110686,-18.00402439,"eocene_Base","linear","CC'",NA
10010,35.37551533,32.44018483,-17.44990854,"eocene_Base","linear","CC'",NA
10020,35.37551533,32.44018483,-17.4277439,"eocene_Base","linear","CC'",NA
10270,35.37802414,32.43926275,-16.87362805,"eocene_Base","linear","CC'",NA
10280,35.37802414,32.43926275,-16.85146341,"eocene_Base","linear","CC'",NA
10520,35.38053289,32.43834063,-16.3195122,"eocene_Base","linear","CC'",NA
10530,35.38053289,32.43834063,-16.29734756,"eocene_Base","linear","CC'",NA
10780,35.38304159,32.43741845,-15.74323171,"eocene_Base","linear","CC'",NA
10790,35.38304159,32.43741845,-15.72106707,"eocene_Base","linear","CC'",NA
11040,35.38555024,32.43649622,-15.16695122,"eocene_Base","linear","CC'",NA
11050,35.38555024,32.43649622,-15.14478659,"eocene_Base","linear","CC'",NA
11290,35.38805883,32.43557395,-14.61283537,"eocene_Base","linear","CC'",NA
11300,35.38805883,32.43557395,-14.59067073,"eocene_Base","linear","CC'",NA
11550,35.39056738,32.43465162,-14.03655488,"eocene_Base","linear","CC'",NA
11560,35.39056738,32.43465162,-14.01439024,"eocene_Base","linear","CC'",NA
11810,35.39307587,32.43372925,-13.46027439,"eocene_Base","linear","CC'",NA
11820,35.39307587,32.43372925,-13.43810976,"eocene_Base","linear","CC'",NA
12060,35.39558432,32.43280682,-12.90615854,"eocene_Base","linear","CC'",NA
12070,35.39558432,32.43280682,-12.8839939,"eocene_Base","linear","CC'",NA
12320,35.39809271,32.43188435,-12.32987805,"eocene_Base","linear","CC'",NA
12330,35.39809271,32.43188435,-12.30771341,"eocene_Base","linear","CC'",NA
12580,35.40060105,32.43096182,-11.75359756,"eocene_Base","linear","CC'",NA
12590,35.40060105,32.43096182,-11.73143293,"eocene_Base","linear","CC'",NA
12830,35.40310934,32.43003925,-11.19948171,"eocene_Base","linear","CC'",NA
12840,35.40310934,32.43003925,-11.17731707,"eocene_Base","linear","CC'",NA
12850,35.40310934,32.43003925,-11.15515244,"eocene_Base","linear","CC'",NA
13086,35.40561758,32.42911663,-11.57870647,"eocene_Base","linear","CC'",NA
13096,35.40561758,32.42911663,-11.61487562,"eocene_Base","linear","CC'",NA
13106,35.40561758,32.42911663,-11.65104478,"eocene_Base","linear","CC'",NA
13346,35.40812576,32.42819395,-12.51910448,"eocene_Base","linear","CC'",NA
13356,35.40812576,32.42819395,-12.55527363,"eocene_Base","linear","CC'",NA
13606,35.4106339,32.42727123,-13.45950249,"eocene_Base","linear","CC'",NA
13616,35.4106339,32.42727123,-13.49567164,"eocene_Base","linear","CC'",NA
13866,35.41314198,32.42634846,-14.3999005,"eocene_Base","linear","CC'",NA
13876,35.41314198,32.42634846,-14.43606965,"eocene_Base","linear","CC'",NA
14116,35.41565002,32.42542564,-15.30412935,"eocene_Base","linear","CC'",NA
14126,35.41565002,32.42542564,-15.34029851,"eocene_Base","linear","CC'",NA
14376,35.418158,32.42450276,-16.24452736,"eocene_Base","linear","CC'",NA
14386,35.418158,32.42450276,-16.28069652,"eocene_Base","linear","CC'",NA
14636,35.42066593,32.42357984,-17.18492537,"eocene_Base","linear","CC'",NA
14646,35.42066593,32.42357984,-17.22109453,"eocene_Base","linear","CC'",NA
14886,35.42317381,32.42265687,-18.08915423,"eocene_Base","linear","CC'",NA
14896,35.42317381,32.42265687,-18.12532338,"eocene_Base","linear","CC'",NA
15142,35.42568163,32.42173385,-17.59777778,"eocene_Base","linear","CC'",NA
15152,35.42568163,32.42173385,-17.56416667,"eocene_Base","linear","CC'",NA
15402,35.42818941,32.42081078,-16.72388889,"eocene_Base","linear","CC'",NA
15412,35.42818941,32.42081078,-16.69027778,"eocene_Base","linear","CC'",NA
15662,35.43069713,32.41988766,-15.85,"eocene_Base","linear","CC'",NA
15668,35.43069713,32.41988766,-15.85,"eocene_Base","linear","CC'",NA
15918,35.43320481,32.41896449,-4.308333333,"eocene_Base","linear","CC'",NA
15928,35.43320481,32.41896449,-3.846666667,"eocene_Base","linear","CC'",NA
16168,35.43571243,32.41804127,13.718,"eocene_Base","linear","CC'",NA
16178,35.43571243,32.41804127,15.172,"eocene_Base","linear","CC'",NA
16188,35.43571243,32.41804127,16.626,"eocene_Base","linear","CC'",NA
16429,35.43822,32.417118,80.61,"eocene_Base","linear","CC'",NA
